player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Opa Sangante,2023,0,1,0,Guinea-Bissau,Right Center Back,5,0,0,African Cup of Nations,2023,2023,2023
Oswin Reagan Appollis,2023,1,1,0,South Africa,Center Forward,55,0,0,African Cup of Nations,2023,2023,2023
Oumar Diakité,2023,1,3,0,Côte d'Ivoire,Right Wing Back,65,0,0,African Cup of Nations,2023,2023,2023
Ousmane Diomande,2023,0,1,0,Côte d'Ivoire,Right Center Back,5,0,0,African Cup of Nations,2023,2023,2023
Pablo Ganet Cómitre,2023,1,4,0,Equatorial Guinea,Left Defensive Midfield,70,0,0,African Cup of Nations,2023,2023,2023
Pachoio Lau Há King,2023,0,2,0,Mozambique,Center Forward,10,0,0,African Cup of Nations,2023,2023,2023
Pape Ibnou Bâ,2023,0,3,0,Mauritania,Center Forward,15,0,0,African Cup of Nations,2023,2023,2023
Patson Daka,2023,1,5,0,Zambia,Center Forward,75,0,0,African Cup of Nations,2023,2023,2023
Paul Onuachu,2023,0,1,0,Nigeria,Left Center Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Percy Tau,2023,1,12,0,South Africa,Right Midfield,110,0,0,African Cup of Nations,2023,2023,2023
Peter Shalulile,2023,0,10,0,Namibia,Center Forward,50,0,0,African Cup of Nations,2023,2023,2023
Petrus Shitembi,2023,0,1,0,Namibia,Right Center Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Pierre Kunde Malong,2022,0,5,0,Cameroon,Left Center Midfield,25,0,0,African Cup of Nations,2022,2022,2022
Prins Menelik Tjiueza,2023,0,2,0,Namibia,Left Center Midfield,10,0,0,African Cup of Nations,2023,2023,2023
Rayan Aït Nouri,2023,0,3,0,Algeria,Left Back,15,0,0,African Cup of Nations,2023,2023,2023
Reinildo Isnard Mandava,2023,1,2,0,Mozambique,Left Center Back,60,0,0,African Cup of Nations,2023,2023,2023
Riaan Hanamub,2023,0,2,0,Namibia,Left Back,10,0,0,African Cup of Nations,2023,2023,2023
Ricardo Martins Guimarães,2023,0,1,0,Mozambique,Left Defensive Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Riyad Mahrez,2023,0,1,0,Algeria,Right Wing,5,0,0,African Cup of Nations,2023,2023,2023
Roberto Lopes,2023,0,1,0,Cape Verde Islands,Left Center Back,5,0,0,African Cup of Nations,2023,2023,2023
Ryan Isaac Mendes da Graça,2023,2,6,0,Cape Verde Islands,Right Wing,130,0,0,African Cup of Nations,2023,2023,2023
Samuel Chimerenka Chukwueze,2023,0,4,0,Nigeria,Left Midfield,20,0,0,African Cup of Nations,2023,2023,2023
Samuel Moutoussamy,2023,2,9,0,Congo DR,Left Defensive Midfield,145,0,0,African Cup of Nations,2023,2023,2023
Saúl Basilio Coco-Bassey Oubiña,2023,0,3,0,Equatorial Guinea,Left Center Back,15,0,0,African Cup of Nations,2023,2023,2023
Seko Fofana,2023,1,17,0,Côte d'Ivoire,Left Center Midfield,135,0,0,African Cup of Nations,2023,2023,2023
Sekou Koita,2023,0,6,0,Mali,Right Center Forward,30,0,0,African Cup of Nations,2023,2023,2023
Sekou Oumar Sylla,2023,0,4,0,Guinea,Left Wing,20,0,0,African Cup of Nations,2023,2023,2023
