player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Iván Rodrigo Piris Leguizamón,2015/2016,0,4,0,Udinese,Right Center Back,20,0,0,Serie A,2015/2016,2015/2016,2015
Jaap Stam,2004/2005,0,2,0,AC Milan,Right Center Back,10,0,0,Serie A,2004/2005,2004/2005,2004
Jacopo Sala,2015/2016,0,11,0,Hellas Verona,Right Center Midfield,55,0,0,Serie A,2015/2016,2015/2016,2015
Jair da Costa,1971/1972,0,1,0,Inter Milan,Right Wing,5,0,0,Serie A,1971/1972,1971/1972,1971
Jakub Błaszczykowski,2015/2016,2,8,0,Fiorentina,Right Wing Back,140,0,0,Serie A,2015/2016,2015/2016,2015
Jasmin Kurtič,2015/2016,2,41,0,Atalanta,Left Center Midfield,305,0,0,Serie A,2015/2016,2015/2016,2015
Jeison Fabián Murillo Cerón,2015/2016,2,21,0,Inter Milan,Left Center Back,205,0,0,Serie A,2015/2016,2015/2016,2015
Jerry Uche Mbakogu,2015/2016,2,35,0,Carpi,Center Forward,275,0,0,Serie A,2015/2016,2015/2016,2015
Jesús Joaquín Fernández Sáez de la Torre,2015/2016,6,39,0,Genoa,Right Wing,495,0,0,Serie A,2015/2016,2015/2016,2015
Joel Chukwuma Obi,2015/2016,1,3,0,Torino,Left Center Midfield,65,0,0,Serie A,2015/2016,2015/2016,2015
Jon Dahl Tomasson,2004/2005,1,1,0,AC Milan,Left Center Forward,55,0,0,Serie A,2004/2005,2004/2005,2004
Jonathan Ludovic Biabiany,2015/2016,1,20,0,Inter Milan,Right Midfield,150,0,0,Serie A,2015/2016,2015/2016,2015
Jonathan de Guzmán,2015/2016,1,2,0,Carpi,Left Center Midfield,60,0,0,Serie A,2015/2016,2015/2016,2015
Jorge Luiz Frello Filho,2015/2016,0,6,0,Napoli,Center Defensive Midfield,30,0,0,Serie A,2015/2016,2015/2016,2015
Josef Alexander Martínez Mencia,2015/2016,3,35,0,Torino,Left Center Forward,325,0,0,Serie A,2015/2016,2015/2016,2015
Joseph Alfred Duncan,2015/2016,1,39,0,Sassuolo,Left Center Midfield,245,0,0,Serie A,2015/2016,2015/2016,2015
Josip Iličić,2015/2016,13,74,0,Fiorentina,Center Attacking Midfield,1020,0,0,Serie A,2015/2016,2015/2016,2015
José João Altafini,1972/1973,0,3,0,Juventus,Right Wing,15,0,0,Serie A,1972/1973,1972/1973,1972
José Martín Cáceres Silva,2015/2016,0,2,0,Juventus,Right Back,10,0,0,Serie A,2015/2016,2015/2016,2015
José María Callejón Bueno,2015/2016,7,64,0,Napoli,Right Wing,670,0,0,Serie A,2015/2016,2015/2016,2015
José Mauri,2015/2016,0,7,0,AC Milan,Center Attacking Midfield,35,0,0,Serie A,2015/2016,2015/2016,2015
José Rodolfo Pires Ribeiro,2015/2016,0,11,0,Sampdoria,Left Wing Back,55,0,0,Serie A,2015/2016,2015/2016,2015
