player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Shinji Kagawa,2018,1,3,0,Japan,Center Attacking Midfield,65,0,0,FIFA World Cup,2018,2018,2018
Shinji Okazaki,2018,0,1,0,Japan,Left Center Forward,5,0,0,FIFA World Cup,2018,2018,2018
Shogo Taniguchi,2022,0,2,0,Japan,Left Center Back,10,0,0,FIFA World Cup,2022,2022,2022
Sofiane Boufal,2022,0,7,0,Morocco,Left Wing,35,0,0,FIFA World Cup,2022,2022,2022
Sofiane Boufal,2023,0,4,0,Morocco,Left Midfield,20,0,0,FIFA World Cup,2023,2023,2023
Sofyan Amrabat,2022,0,1,0,Morocco,Right Defensive Midfield,5,0,0,FIFA World Cup,2022,2022,2022
Stefan de Vrij,2020,0,1,0,Netherlands,Right Center Back,5,0,0,FIFA World Cup,2020,2020,2020
Stefan de Vrij,2024,1,4,0,Netherlands,Right Center Back,70,0,0,FIFA World Cup,2024,2024,2024
Steven Berghuis,2020,0,1,0,Netherlands,Right Wing Back,5,0,0,FIFA World Cup,2020,2020,2020
Steven Berghuis,2022,0,6,0,Netherlands,Center Attacking Midfield,30,0,0,FIFA World Cup,2022,2022,2022
Steven Bergwijn,2022,0,2,0,Netherlands,Right Center Forward,10,0,0,FIFA World Cup,2022,2022,2022
Steven Bergwijn,2024,0,1,0,Netherlands,Right Wing,5,0,0,FIFA World Cup,2024,2024,2024
Strahinja Pavlović,2022,1,2,0,Serbia,Left Center Back,60,0,0,FIFA World Cup,2022,2022,2022
Stéphane Demol,1986,0,2,0,Belgium,Right Center Back,10,0,0,FIFA World Cup,1986,1986,1986
Sultan Abdullah Salim Al Ghannam,2022,0,2,0,Saudi Arabia,Right Back,10,0,0,FIFA World Cup,2022,2022,2022
Sung-Yeung Ki,2018,0,3,0,South Korea,Left Defensive Midfield,15,0,0,FIFA World Cup,2018,2018,2018
Sverrir Ingi Ingason,2018,0,3,0,Iceland,Right Center Back,15,0,0,FIFA World Cup,2018,2018,2018
Sávio Moreira de Oliveira,2024,1,4,0,Brazil,Right Midfield,70,0,0,FIFA World Cup,2024,2024,2024
Taha Yassine Khenissi,2022,0,1,0,Tunisia,Center Forward,5,0,0,FIFA World Cup,2022,2022,2022
Taha Yassine Khenissi,2023,0,1,0,Tunisia,Center Forward,5,0,0,FIFA World Cup,2023,2023,2023
Takashi Inui,2018,2,9,0,Japan,Left Wing,145,0,0,FIFA World Cup,2018,2018,2018
Takashi Usami,2018,0,3,0,Japan,Left Midfield,15,0,0,FIFA World Cup,2018,2018,2018
Takuma Asano,2022,2,9,0,Japan,Center Forward,145,0,0,FIFA World Cup,2022,2022,2022
Takumi Minamino,2022,0,3,0,Japan,Right Wing,15,0,0,FIFA World Cup,2022,2022,2022
Tarik Tissoudali,2023,0,3,0,Morocco,Center Forward,15,0,0,FIFA World Cup,2023,2023,2023
Tariq Lamptey,2022,0,1,0,Ghana,Right Back,5,0,0,FIFA World Cup,2022,2022,2022
Terence Cooper,1970,0,1,0,England,Left Back,5,0,0,FIFA World Cup,1970,1970,1970
Terry Butcher,1986,0,1,0,England,Left Center Back,5,0,0,FIFA World Cup,1986,1986,1986
Terry Fenwick,1986,0,2,0,England,Right Center Back,10,0,0,FIFA World Cup,1986,1986,1986
Teun Koopmeiners,2022,1,3,0,Netherlands,Right Defensive Midfield,65,0,0,FIFA World Cup,2022,2022,2022
Teófilo Juan Cubillas Arizaga,1970,1,5,0,Peru,Left Center Forward,75,0,0,FIFA World Cup,1970,1970,1970
Theo Bernard François Hernández,2022,1,5,0,France,Left Back,75,0,0,FIFA World Cup,2022,2022,2022
Theo Bernard François Hernández,2024,1,5,0,France,Left Back,75,0,0,FIFA World Cup,2024,2024,2024
Theo de Jong,1974,0,2,0,Netherlands,Left Center Midfield,10,0,0,FIFA World Cup,1974,1974,1974
Thiago Emiliano da Silva,2018,1,6,0,Brazil,Right Center Back,80,0,0,FIFA World Cup,2018,2018,2018
Thiago Emiliano da Silva,2022,0,2,0,Brazil,Left Center Back,10,0,0,FIFA World Cup,2022,2022,2022
Thomas Berthold,1986,0,1,0,Germany,Right Wing Back,5,0,0,FIFA World Cup,1986,1986,1986
Thomas Lemar,2018,0,1,0,France,Left Wing,5,0,0,FIFA World Cup,2018,2018,2018
Thomas Meunier,2018,1,6,0,Belgium,Right Wing Back,80,0,0,FIFA World Cup,2018,2018,2018
Thomas Meunier,2020,1,4,0,Belgium,Right Wing Back,70,0,0,FIFA World Cup,2020,2020,2020
Thomas Meunier,2022,0,3,0,Belgium,Right Back,15,0,0,FIFA World Cup,2022,2022,2022
Thomas Müller,2018,0,4,0,Germany,Center Attacking Midfield,20,0,0,FIFA World Cup,2018,2018,2018
Thomas Müller,2020,0,6,0,Germany,Left Attacking Midfield,30,0,0,FIFA World Cup,2020,2020,2020
Thomas Müller,2022,0,3,0,Germany,Center Forward,15,0,0,FIFA World Cup,2022,2022,2022
Thomas Müller,2024,0,1,0,Germany,Center Attacking Midfield,5,0,0,FIFA World Cup,2024,2024,2024
Thomas Teye Partey,2022,0,2,0,Ghana,Right Center Midfield,10,0,0,FIFA World Cup,2022,2022,2022
Thomas Vermaelen,2020,0,1,0,Belgium,Left Center Back,5,0,0,FIFA World Cup,2020,2020,2020
Thorgan Hazard,2018,0,3,0,Belgium,Left Midfield,15,0,0,FIFA World Cup,2018,2018,2018
Thorgan Hazard,2020,2,4,0,Belgium,Left Wing Back,120,0,0,FIFA World Cup,2020,2020,2020
Tijjani Reijnders,2024,0,10,0,Netherlands,Center Attacking Midfield,50,0,0,FIFA World Cup,2024,2024,2024
Tim Cahill,2018,0,2,0,Australia,Center Forward,10,0,0,FIFA World Cup,2018,2018,2018
Tim Ream,2022,0,1,0,United States,Left Center Back,5,0,0,FIFA World Cup,2022,2022,2022
Timo Werner,2018,0,7,0,Germany,Center Forward,35,0,0,FIFA World Cup,2018,2018,2018
Timo Werner,2020,0,2,0,Germany,Center Forward,10,0,0,FIFA World Cup,2020,2020,2020
Timothy Weah,2022,1,5,0,United States,Right Wing,75,0,0,FIFA World Cup,2022,2022,2022
Timothy Weah,2024,0,3,0,United States,Right Wing,15,0,0,FIFA World Cup,2024,2024,2024
Toby Alderweireld,2018,0,5,0,Belgium,Right Center Back,25,0,0,FIFA World Cup,2018,2018,2018
Toby Alderweireld,2020,0,2,0,Belgium,Right Center Back,10,0,0,FIFA World Cup,2020,2020,2020
Tom Rogić,2018,0,5,0,Australia,Secondary Striker,25,0,0,FIFA World Cup,2018,2018,2018
Tomoaki Makino,2018,0,2,0,Japan,Left Center Back,10,0,0,FIFA World Cup,2018,2018,2018
Toni Kroos,2018,1,16,0,Germany,Left Center Midfield,130,0,0,FIFA World Cup,2018,2018,2018
Toni Kroos,2020,0,4,0,Germany,Left Defensive Midfield,20,0,0,FIFA World Cup,2020,2020,2020
Toni Kroos,2024,0,3,0,Germany,Left Defensive Midfield,15,0,0,FIFA World Cup,2024,2024,2024
Trent Alexander-Arnold,2018,0,1,0,England,Right Midfield,5,0,0,FIFA World Cup,2018,2018,2018
